player_name,matched_aliases,tweet_mentions,example_tweet
Harry Kane,harry kane|harrykane,23,"Another angle of Kylian Mbappe's reaction to Harry Kane's missed pen.
🎲𝑅𝑒𝑔𝑖𝑠𝑡𝑒𝑟 ℎ𝑒𝑟𝑒: https://t.co/3nDbNA1vqD
👉𝑅𝑒𝑔𝑖𝑠𝑡𝑒𝑟 ℎ𝑒𝑟𝑒: https://t.co/F0wLRMHIFQ
#Video #FIFA #KylianMbappe #harrykane #FootballUnitesTheWorld https://t.co/e9j8j9L36Y"
Trent Alexander-Arnold,trent,23,"1-0 down at halftime, needing a goal or else you’re out of the world cup. Europe’s most creative player sitting on the bench. but southgate won’t sub on trent lol. that’s fine though at least he’ll be fresh for us!"
Sadio Mané,mane,22,"1. No European Champions
2. No Benzema, Kante, Pogba, Mane, Werner, Reece James, Chilwell, Jota and many more
3. Ronaldo, Messi past their prime
4. No footballing heritage in Qatar
5. Restrictions on fans

Most boring World Cup ???

#FIFAWorldCup 
#Qatar2022 
#WorldCup2022"
Emiliano Martinez,emiliano martinez,22,"1st time watching foot ball match and fifa world cup final #Messi𓃵 #FIFAWorldCup2022 ,special mention for goal kepper Emiliano martinez https://t.co/U3xYZSWKc3"
Emiliano Martinez,dibu,22,"@abdullahAB17_ @goal @FIFAWorldCup You have good eyes for the sport. This was my lineup as well before the final. I’m pretty sure this would have been their exact lineup but for Dibu’s heroics in the final. That was what pushed Livakovic out for me, and it must be the same for @goal as well."
Kyle Walker,walker_contextual,21,@AFCHanlol @goal Mbappe cannot do anything to walker since this world cup have started against england was the worsted game
Lionel Messi,lm10,21,"1,003 games. 793 goals. 7 Ballon d'Or . A World Cup LM10’s life journey is complete.🐐✨
it doesn’t matter what your team is we all celebrate tonight.
🇦🇷 🇧🇷
The ending is beautiful🏆
@leomessiprivate  🫡💖 https://t.co/r1cjvYISx8"
Julián Álvarez,julianalvarez,20,"11 of the 12 goals #Argentina have scored at this World Cup have come with #JULIANÁLVAREZ  on the pitch.

All 5 goals conceded have come when he was off it.

@Argentina's unsung hero. #Egesports @AbimbolaLameed #akdonsports https://t.co/XNs0yRieec"
Mason Mount,mount_contextual,19,"@4554zone @CFCAzM See this donkey he scored the only goal in your ucl final, scored the winning goal in the club World Cup final, was a beast against Liverpool in the fa cup final, always comes clutch for Chelsea in big games you can cry more bro mount is trash 😂"
Cristiano Ronaldo,cr7|cristiano|ronaldo,19,"@ChampionsLeague No hate for anyone but it was CR7 because of whom I followed this Fifa WC, now let's support #Messi𓃵 so that Argentina ends up winning this WC.
If not Ronaldo then Messi.

Neither #Cristiano nor #Messi𓃵 deserves hate..."
