player_name,matched_aliases,tweet_mentions,example_tweet
Rafael Leão,leao|rafael leao,2,"🚨 EXPIRING IN 4 HOURS 🚨
#Portugal &amp; #ACMilan star R. Leao was announced #SerieA #POTM for October 🔥
Can be completed just under 180k 💰

Checkout 87 rated Rafael Leao SERIE A October Player Of The Month (POTM) SBC cheapest possible solution and review! https://t.co/mkoNfQDDrN"
Vinícius Júnior,vini|vinicius,2,@Ghananess Vinicius have had a hand in about 80% of Brazil’s goals at World Cup. Who’s Martinelli to be compared to Vini?
Son Heung-min,heung min son|son_contextual,2,Brazil v South Korea – World Cup 2022 LIVE: Neymar returns for favourites as Heung-min Son looks to end goal drought to spring major upset https://t.co/sK1pJ0T3aL
Vinícius Júnior,vini|vinijr,2,"Brazil started the game with bang, two goals in 20 min. Match is look done in first half only. @vinijr and @neymarjr open their world cup account in style. The samba starts now.
#FIFAWorldCup 
#BRAKOR 
#Neymar 
#vini 
#korea https://t.co/avnqOiNtfp"
Vinícius Júnior,vinicius|vinicius junior,2,"FIRST WORLD CUP DANCE FOR VINICIUS!

Vinícius Júnior's first half by numbers vs. South Korea:

100% take-ons completed
93% pass accuracy
28 touches
15 passes
4 touches in opp. box
4 crosses
2 chances created
1 assist
1 goal

The first World Cup goal of his career. 
#FIFAWorldCup https://t.co/vTZCczLMuE"
Rúben Dias,dias_contextual,2,"OFFICIAL : Artur Soares Dias from Portugal will be the center man for the FIFA world Cup final.        #fifaworldcup #worldcup #messi @ Accra, Ghana https://t.co/o2OLYQqKe0"
Vinícius Júnior,vini|vinicius junior,2,"a side after the last World Cup! Brazil do have the main man Neymar back in in the 10 though, and it’s all going to go through him - he better be better protected. The likes of Vinicius Junior &amp; Richarlison have stepped up: Richy’s goal record for them is insane, and Vini’s…"
Aaron Ramsdale,aaron ramsdale,2,"✍️| @charles_watts: “Aaron Ramsdale, Bukayo Saka and Gabriel Martinelli are set to sit the game [against Juventus on Saturday] out as they are integrated back into the squad over the next couple of days following their respective exits from the World Cup.” [@goal] #afc"
Neymar,ney_contextual,2,@FIFAWorldCup Brazil x croatia. Beautiful goal from lil ney
Lionel Messi,goat_contextual|leo_contextual,2,@Dani77k How you dey feel can your goat do what our goat Leo is doing 10goals for Argentina at the worldcup &amp; 4 goals so far three man of match awards your goat dey bench 😂😂😜😜
Enzo Fernández,enzofernandez,2,"@FIFAWorldCup this is what is going to happen today...listen 🦻🏾,MOTM will be Martinez(GK)  &amp; the Final score Argentina 2-0.Goal scorers will be EnzoFernández &amp; Lionel Messi... Congratulations @afaseleccion🇦🇷🇦🇷🇦🇷"
Eden Hazard,eden hazard|edenhazard|hazard_contextual,2,"Belgium playmaker Eden Hazard retired from international football at the age of 31. Hazard made his Belgium debut in 2008 at the age of 17 and went on to win 126 caps, scoring 33 goals.

Credit: @ujuochulo for The Guardian

#WorldCup #WorldCup2022 #EdenHazard #Belgium #Qatar2022 https://t.co/KsO5KYJ6gI"
Cristiano Ronaldo,cristiano|cristiano ronaldo|goat_contextual|ronaldo,2,"Cristiano Ronaldo's World Cup journey ends in tears❤️‍🩹🥺

@Cristiano 🐐

#FIFAWorldCup #FIFAWorldCup2022 #Ronaldo #Cristiano #cristianoronaldo #goat #cristianos #portugal🇵🇹 #fifa #portugal #portugalvsMorocco https://t.co/mJsyoNa5Oe"
João Cancelo,joao cancelo,2,@goal @neymarjr It's Ronaldo or João cancelo to win the world cup so everyone else can ress
Jude Bellingham,judebellingham,2,"""Who is the next biggest ⚽️#Star #Legend #Icon? 
@Darwinn99 #DarwinNunez @ErlingHaaland #erlinghaaland 
@BellinghamJude #JudeBellingham 
@KMbappe #Kylian_Mbappe #PremierLeague #ManCity #LiverpoolFC #England #WorldCup2022  #FIFAWorldCup #FIFAWorldCupQatar2022 #Worldcup #France #PSG"""
Karim Benzema,benzema|karim benzema|karimbenzema,2,"""Benzema WC Final Return? Is Karim Benzema returning for FIFA World Cup Final, Check what coach has to say?

#FIFAWorldCup #KarimBenzema #TeamFrance #Qatar2022 https://t.co/DR7G3VvHdq"""
Cristiano Ronaldo,cr7|cristiano|goat_contextual|ronaldo,2,"He @Cristiano Is My #GOAT𓃵 and Many of Us ! 

He's broken goal records, he's broken appearance records, he won the Euros, he had nothing left to prove.
It was Heart Breaking ! 
An incredible international career! 🇵🇹#CristianoRonaldo #CR7𓃵 #Ronaldo #WorldCup #Portugal #Morocco https://t.co/gyDFYizUsm"
Eduardo Camavinga,eduardo camavinga,2,Eduardo Camavinga misses France training ahead of #WorldCup2022 opener https://t.co/N2Xa3ZtaLZ
Luka Modrić,lukamodric|modric,2,"Croatians are playing the game while Argentina are scoring the goals.
Half Time Report at Lusail Stadium
SEMI FINALS - 
Argentina 2 - 0 Croatia :
#FIFAWorldCup #Qatar2022 #WorldCup2022 #WorldCup #ArgentinaVsCroatia #ARGCRO #Croatia #CROARG #CRO #ARG #Messi #Modric #LukaModric https://t.co/DBPqkUWzDl"
Luka Modrić,luka modric|luka_contextual|lukamodric,2,"Perisic Mr. World cup for croatia another crucial goal at a crucial stage⚽🤯
Nd Luka Modric a Magic no words can define d legend he's  an art😍🐐
Last tym runner's up croatia into d quarters once again! 🤞😌
#FIFAWorldCup2022 
#perisic 
#lukamodric 
#penaltyshootout
#Croatia"
Luka Modrić,luka_contextual|modric,2,"@bernie_slimz Ronaldo won the golden boot in that World Cup bro. Scored an astronomical number of goals. You absolutely would have won the UCL without Luka, but you couldn’t have without Ronaldo. You can’t deny that the politics played by Madrid was what helped Modric win. You can’t!"
Luke Shaw,luke shaw|shaw_contextual,2,@goal So England really thought they were gonna win world cup with Maguire and Luke Shaw ? Ridiculous.
Cristiano Ronaldo,cris_contextual|ronaldo,1,@Cris_Young6 @Vettel_AMR Warra world cup knockout goal for Ronaldo
Eduardo Camavinga,cama_contextual|camavinga,1,"UCL Semi final : RMA is 2 goals behind on aggregate.
Cama comes on. 
Rodrygo scores 2 in 2 mins. 

Worldcup Final : France is 2 goals behind. 
Cama comes on. 
Mbappe scores 2 in 2 mins. 

✨ @Camavinga ✨
#ARGFRA
#WorldCup 
#ArgentinaVsFrance"
Eduardo Camavinga,cama_contextual,1,"Fance midfield was dead in 1st half, they woke up in 2nd. Cama blew some energy which made those 2 crucial last minute goals. The Penalties are always cruel. The future looks good for 🇫🇷 w Cama, Meni, Mbappe. #WorldCup #Mbappe𓃵"
Eden Hazard,edenhazard,1,"#edenhazard Hazed 2018 world cup version. A playmaker, goal scorer lead Belgium in front. Best individual player in Belgium history we seen so far. 
#FIFAWorldCup2022 https://t.co/3yppqeeFsH"
Trent Alexander-Arnold,alexander arnold,1,"@steviegates @AlexLaneMusix @Us3official @talkSPORT Also your manager subbed off your best player on the game (saka), kept Phoden on while he was doing nothing, Grealish could have probably be given a run instead.. Alexander-arnold the best assister in the world on the bench watching the whole World Cup while you needed goals"
Alisson,alisson|alisson becker,1,@Rimey_10 @aurizons @BallisOxygen @HenryNavarr0 @goal Emi Martinez is also in the final and Alisson Becker is at home. Does that mean Martinez has been clear of Alisson this World Cup? A simple yes or no will suffice
Antonio Rüdiger,antonio rudiger|rudiger,1,"Antonio Rüdiger: ‘Never count Germany out – anything can happen’
#WorldCup2022 #Germany #Rüdiger https://t.co/nJw0ShUjus"
Declan Rice,declan rice|declanrice|rice_contextual,1,"""Apart from 2 masterful goals scored in key moments of a world cup QF, I don't think France did a lot. The better team, that needed a peno to score and counts West Ham legend Declan Rice as their best player, lost.""  - @_DeclanRice 
Ooh ah up the Rice"
Bernardo Silva,bernardo_contextual,1,"Pep doesnt respect him, he focused  on his LIABILITIES to endear himself to the British public which backfired.  Alvarez Haaland Bernardo would form a deadly front line. Man City fans go wild for Julian Alvarez after World Cup wonder goal https://t.co/25zlcPXIH2"
Trent Alexander-Arnold,trent|trent alexander arnold,1,"@LFC_Elliott @PremLeaguePanel @OC_LFC Trent Alexander Arnold got beat for pace by Ivan Perisic.

Prior to the World Cup, and starting with the game when Liverpool came to the Emirates, Trent has played deeper, rarely crossing the half way line. Teams have targeted his side, and gained goals with little resistance."
Bukayo Saka,bukayosaka|saka,1,"⚽@BukayoSaka  on his Faith⚽ 
Good Luck to the boys tomorrow night! 
⚽ It's Coming Home for Christmas⚽ 
#football #saka #faith #bukayosaka #worldcup #qatar2022 #goals #bible #itscominghome
@England https://t.co/QouytIXNK5"
Vinícius Júnior,vinicius|vinijr,1,@FIFAWorldCup There can be debate on the best but #Vinicius #vinijr had the most effortless goal! With in a fraction of sec he ditched 4 defenders and GK to one side before shooting and make it look so easy! https://t.co/ckBqbtjjYu
Cristiano Ronaldo,cris_contextual,1,Heartbreaking end to Cris’s World Cup career man but  bravo Morocco my god what a masterclass in tactical defending that mid block looked like they could go another hour and not give up a goal. Once again the lack of attacking options on the pitch from the START screwed Portugal
Vinícius Júnior,vini jr|vinicius,1,"Brazil scored 6 open play goals this World Cup:

1st: Richarlison goal from Vinicius' shot.
2nd: Vinicius assist
3rd: Casemiro goal from Vinicius' chance created.
4th: Vinicius goal
5th: ❌
6th: Vinicius assist

Everything goes through Vini Jr.⚡🇧🇷 https://t.co/zhepWSj05A"
Emiliano Martinez,dibu martinez|emi martinez|martinez_contextual,1,"Paulo Dybala reveals Emi Martinez has given him a crucial penalty advice in #ARG's #WorldCup final win over #FRA.

""I listened to Dibu (Martinez) because they had made a mistake before me and he told me to go down the middle, shoot there and it was a goal."""
Vinícius Júnior,vinicius jr|vinicius junior,1,"Vinicius Junior is the youngest Brazilian to score in a World Cup knockout stage match since Ronaldinho in 2002.

Brazil defeated South Korea with goals coming from Vinicius Jr, Neymar, Richarlison, and Paqueta, Paik Seung-ho scored South Korea's only goal.

#NewsCentralTV https://t.co/9W6zOsoN5t"
Vinícius Júnior,vini|vini jr,1,"WORLD CUP GIVEAWAY 💰💰💰

If Vini Jr DOESN'T score tomorrow we'll give $50 to three people who RT this tweet.

Goal or no goal, our people are winning on Vini 🇧🇷 https://t.co/pwIfHYcQbB"
Vinícius Júnior,vinicius jr|vinijr,1,Vinicius Jr @vinijr has scored his first world cup goal🙌💪🔥 https://t.co/9ZRDIuR7hi
Cristiano Ronaldo,cr7|cristiano|cristiano ronaldo|goat_contextual|ronaldo,1,"Building The First Girl #shiba 

✅Low Mcap #GEM
✅Audited
✅Team Doxxed
✅Liquidity🔒

#Ronaldo𓃵 #RonaldoOnBinance #Ronaldo #BinanceSmartChain #RonaldoCR7 #ronaldo_world_cup #CristianoRonaldo #Cristiano #cristiano_ronaldo #CR7𓃵 #CR7 #CR7GOAT #GOAT𓃵 #GOAT #GoalOfTheDay #goal https://t.co/lRXD4a9mKX"
Vinícius Júnior,vinicius junior|vinijr,1,"🔎 Vinícius Júnior (22 years old) among Brazil's players in the 2022 World Cup:

1st in assists
1st in goal contributions
1st in decisive passes
1st in completed dribbles
2nd in fouls suffered
3rd in duels won

@vinijr 🇧🇷🔥 https://t.co/WMZK7JCxcB"
Cristiano Ronaldo,cr7|cristiano|cristiano ronaldo|goat_contextual,1,"It doesn't matter that @Cristiano Ronaldo's international career will end without a World Cup. 
He's broken goal records, he's broken appearance records, he won the Euros, he had nothing left to prove.
An incredible international career! 
#cristiano #CR7 #sohagsana #Goat https://t.co/p05R2wvXOO"
Cristiano Ronaldo,cr7|cristiano|cristiano ronaldo|ronaldo,1,"Cristiano Ronaldo, one of the greatest to ever play the game will likely never win its most coveted trophy.
The legend from Portugal 🇵🇹 scored 8 goals in 22 World cup matches.

#CR7𓃵  #CristianoRonaldo  #FIFAWorldCup  #FIFAWorldCup2022  #Qatar2022  #Ronaldo  #Cristiano https://t.co/XdQnjHGwqN"
Enzo Fernández,enzo_contextual|fernandez_contextual,1,"Enner Valencia of Ecuador scores the second goal for The Tricolors after a fine header
(History is written, 2 goals in 31mins #WorldCup2022)

#FIFAWorldCup Shakira Enzo #QATECU Fernandez James Rema England Bridge #foundmyennervalencia https://t.co/QqjbUlqJyC"
Emiliano Martinez,emi martinez|emiliano martinez|martinez_contextual,1,"Lionel Messi might have won Man Of The Match but this 120+3' save from Emiliano Martinez saved Argentina's World Cup 🇦🇷❤️

1 massive penalty save 🔥
1 pure goal save 🔥
Our Savior Emi Martinez 💝
Thank you for everything you did for us 🫶
#VamosArgentina 
#WorldChampions https://t.co/gsCx3QQMsL"
Robert Lewandowski,lewandowski|robert lewandowski,1,"@AnarchoMayo You want to play the stats game? 

Reyna goals/assist in his first World Cup -  0 

Robert Lewandowski goals/assist in this first world cup - 0 

John Brooks first World Cup - 1 goal.

John brooks has better stats in his first World Cup compared to Lewandowski first World Cup"
Mason Mount,mason mount|masonmount|mount_contextual,1,"Mason mount achievement at the age of 23

Won the champions league
Won the super cup
Won the club world cup
Got nominated at the ballon d'or
Won Chelsea Player of the year x2,

Has the most goals G/a than all Chelsea player's for the past 2 seasons...
 [ @MasonMount ] 💙 https://t.co/rNniKZRH62"
Marcus Rashford,marcus rashford|marcusrashford|rashford,1,"Rashford continues World Cup form 🫵💯

Marcus Rashford scored an impressive solo goal after picking the ball up in his own half and helping Manchester United progress to the quarter-finals of the Carabao Cup.

#CarabaoCup #ManchesterUnited #MarcusRashford https://t.co/P82eOf3XdU"
Neymar,neymar junior|neymarjr,1,"@neymarjr PSG Trio in the biggest stage in Sport:

Lionel Messi: 1 World Cup title, 2 goals in finals and 13 goals in competition history

Kylian Mbappé: 1 World Cup, 4 goals in finals: top scorer in World Cup final history and 12 goals in competition history

Neymar: Junior"
Lionel Messi,leo_contextual|lionel messi|messi,1,"""YOU HAVE FACED ENOUGH HEARTBREAKS 💔IN YOUR CARRIER , leo .Now this sport should not disappoint u any more ! 
Lionel messi Int'l career so far 👇🏻
#Messi𓃵 #FIFAWorldCupQatar2022 #FIFAWorldCup https://t.co/aMrlWutVXh"""
Lionel Messi,leo_contextual|leomessi|messi,1,"""Leo The Magician Messi 🎩.
#LeoMessi #LionelMessi #LionelMessi𓃵 #Messi #Messi𓃵 #messiday #Argentina #MoroccoVsFrance #francemaroc #argentinavsfrance #FIFAWorldCup #finale https://t.co/OPxnfHB1aE"""
Lionel Messi,leo messi|leo_contextual|lm10|messi,1,"Football is emotion 🖤 @Ieomessiok U beauty.  End of an era💔 Messi (lm10) the magic man G.O.A.T. we miss u Legend 1,003 games. 793 goals. 7 Ballons d’Or. One World Cup.
Leo Messi's career masterpiece is complete 🐐🫰amazing ending🔥 @qatar🫡❤️‍🔥 @Argentina @afa @lioscaloni https://t.co/nI9UQQY72R"
Lionel Messi,leo messi|leo_contextual|leomessi|messi,1,"""Hoping same action by Leo Messi in the FIFA Final. 

#FIFAWorldCup #FIFAWorldCupQatar2022 #FIFA2022 #FIFAWorldCup2022 #LeoMessi #Messi𓃵   #ArgentinavsFrance #argentinavsfrance🇦🇷🇫🇷 #francevsargentina"""
Lionel Messi,leo messi|leo_contextual|leomessi|lionel messi|messi,1,"Lionel Messi The KING 👑
What a final, what a goal, what a win for Argentina. That's why Love Leo Messi. Congratulations to Argentina for winning the FIFA World Cup final 🫶💯❤️
#LionelMessi #Messi #LeoMessi 
#ArgentinavsFrance https://t.co/P8uWBVma8r"
Lionel Messi,goat_contextual|lionel messi|lm10,1,"Remember the name : Lionel Messi the GOAT !!! Like Odysseus said about Achilles in the end of the film, Troy, I say, Let them say I lived in the time of CR7, the greatest goal scorer of all time ; Let them say I lived in the time of LM10 the Greatest of all time !!! @FIFAWorldCup https://t.co/ry9gcrw1qV"
Lionel Messi,goat_contextual|leo_contextual|leomessi|lionel messi|messi,1,"""The G.O.A.T. Lionel Messi 🐐👽
One step away from the cup 🏆
Go for the win Leo 💞✨

He is walking work of art ,the Magician and blessings to our eyes and football 💞🥰
#Messi𓃵 #ArgentinaVsFrance #LeoMessi #Messi #FIFAWorldCup #GOAT𓃵 #football #messifans https://t.co/huN1Je6cvy"""
Lionel Messi,goat_contextual|leo messi|leo_contextual|lm10,1,"Leo Messi becomes Argentina’s all-time top goalscorer in World Cup history with 11 goals ⭐️🇦🇷

#LionelMessi #Argentina ##LM10 #GOAT https://t.co/UemEjdr9FX"
Kylian Mbappé,kylian_contextual|kylianmbappe|mbappe,1,"""𝐀𝐑𝐆𝐄𝐍𝐓𝐈𝐍𝐀 🆚 𝐅𝐑𝐀𝐍𝐂𝐄

🍿 Bring. It. On.

#Football #mbappe #mbappé #mbappe7 #kylianmbappe #kylian #mbappefans #paris #parisfrance #psg #parissaintgerman #parisfans #argentina #messi #lionelmessi  #leomessi #WorldCup #laliga #FranceFootball #France #FIFAWorldCup https://t.co/lpymy3qzup"""
Emiliano Martinez,emiliano martinez|emilianomartinez|martinez_contextual,1,"Relive Emiliano Martinez’s Spectacular Save in Extra Time To Deny France a Goal in Dying Moments of FIFA World Cup 2022 Final (Watch Video)

@emimartinezz1 @FIFAWorldCup
#FIFAWorldCup #EmilianoMartinez #ARGFRA #Martinez #Qatar2022 #Argentina #France 

https://t.co/YV80hnqBuS"
Kevin De Bruyne,kdb|kevin de bruyne,1,"Midfielder: 🇧🇪Kevin De Bruyne

Arguably the best midfielder in the world at the moment, failed to shine for his country at the World Cup. KDB played all 3 group stage games picking up 0 goals and 0 assists. https://t.co/lz92QBfruT"
Julián Álvarez,alvarez|julian alvarez|julianalvarez,1,"In 2012, 12-year-old Julian Alvarez took photo with his idol Lionel Messi. 10 years later, they're heading to a World Cup Final together with nine goals between them. 🇦🇷
#JulianAlvarez #Alvarez
#LeoMessi #Messi𓃵 #Arana #VamosArgentina #FIFAWorldCup https://t.co/1vRMef9bMy"
Jude Bellingham,bellingham|jude bellingham|jude_contextual,1,"England Star Bellingham Explains Jubilation With Henderson VS Senegal, Jude Bellingham says his goal celebration with Jordan Henderson during England’s World Cup win over Senegal was not planned but has become “iconic”
https://t.co/bneOwblbdi https://t.co/ERQ8AItvsm"
Jack Grealish,jack grealish|jackgrealish,1,"Jack Grealish Fulfills Promise to a Boy with a Goal Celebration at the FIFA World Cup 2022
https://t.co/Ekk91LrMQb

#JackGrealish #England #promise #Finlay #suffer #cerebralPalsy #celebrate #WorldCup2022 #goal #Dance #delighted #unbreakableBond #priceless #connection #PepRaise"
Rúben Dias,rubendias,1,"@City_Xtra @selecaoportugal @rubendias @BernardoCSilva it has never happened and will never happen, no ref can restart a game while a team is celebrating scoring a goal, these city fans have nothing to celebrate on this world cup becos their players are doing nothing now they are giving us stupid stories full of nonsense"
Harry Kane,harry kane|harrykane|kane,1,"Harry Kane scores a penalty for England against France to equal England's top scorer record - Wayne Rooney with 53 goals!
.
.
.
#harrykane #rooney #waynerooney #kane #england #france #quarterfinals #worldcup #fifa #twitter  #news #instagram #football #footnewz #worldcupnews https://t.co/xl8UJmBogm"
Sadio Mané,mane|sadio mane,1,"RT @DTDProjectsNFT: G⚽️⚽️d afternoon,  #NFTs adventurers

🏆FIFA DTD

🇸🇳Senegal: 

Sadio Mané, a winger with strong ability, is the historical top scorer of national team, scoring 33 goals in 91 games

❤️Take care, look forward to seeing you

#NFTartist #NFTArts #NFTProjects  #FIFAWorldCup   #mane https://t.co/sX9CDwv5dJ"
Son Heung-min,heung min son,1,Heung-min son is leaving the world cup tired and with zero goals https://t.co/FP1xI5Qw99
Nathan Aké,nathan ake,1,"@Quidd FromTheAshes21 World Cup Prediction Today:

NETHERLANDS VS ARGENTINA

GOAL BY
1st Half :  Nathan Ake
2nd Half :  Nathan Ake"
Enzo Fernández,enzo fernandez|enzo_contextual|enzofernandez|fernandez_contextual,1,"🇦🇷 Enzo Fernandez stats at the World Cup:
 1 goal
 1 assist
 6 chances created 
 88% accurate passes
 100% successful dribbles 
 15 tackles won
 3 interceptions 
 7 clearances 
 5 headed clearances
59% total duels won
Young player of the Tournament
#FIFAWorldCup #enzofernandez https://t.co/2igwisN9KU"
Emiliano Martinez,emilianomartinez|martinez_contextual,1,"A 30 year old man making fun of someone who won the world cup before him at the age of 19, put 4 goals past him and is going to have a better legacy in football than him. Martinez is annoying 🤦‍♂️

@KMbappe @FIFAWorldCup @Argentina @emilianomartinez https://t.co/KnCLIsEtJw"
İlkay Gündoğan,gundogan,1,"""Please we really need your help.
If you can't help, please repost🥺

Gundogan| Spain | Japan #FIFAWorldCup #NairaRedesign #nairanotes #Asiwajutinubu #ASUU #PeterObi4President https://t.co/WzdMqGUebD"""
